,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,zeya,53.75,127.27,-11.09,79,3,2.57,RU,1609565632
313,san rafael,-34.62,-68.33,80.55,39,36,11.77,AR,1609565585
314,qaqortoq,60.72,-46.03,35.6,51,100,25.28,GL,1609565632
315,sinjai,-5.12,120.25,87.06,66,100,3.96,ID,1609565632
316,wote,-1.78,37.63,70.86,76,97,2.17,KE,1609565632
317,attur,11.6,78.62,75.2,73,40,9.17,IN,1609565632
318,palu,-0.89,119.87,84.0,74,85,4.32,ID,1609565461
319,sabha,27.04,14.43,59.7,36,90,11.74,LY,1609565633
320,tutoia,-2.76,-42.27,78.37,88,94,11.48,BR,1609565633
321,pizarro,4.95,-77.37,75.38,91,100,5.03,CO,1609565633
322,saint-denis,48.92,2.33,28.0,100,0,2.24,FR,1609565633
323,lira,2.23,32.91,71.49,77,80,3.4,UG,1609565633
324,cananeia,-25.01,-47.93,71.33,88,98,3.56,BR,1609565633
325,panji,-7.73,114.1,86.85,66,92,3.33,ID,1609565633
326,lianran,24.92,102.48,57.2,50,0,20.13,CN,1609565633
327,northam,51.03,-4.22,39.0,82,11,5.99,GB,1609565633
328,richards bay,-28.78,32.04,71.26,71,100,8.88,ZA,1609565633
329,tutubigan,11.84,125.06,76.17,93,100,6.35,PH,1609565633
330,geraldton,-28.77,114.6,87.8,43,0,18.34,AU,1609565447
331,kruisfontein,-34.0,24.73,68.0,61,0,5.99,ZA,1609565634
332,ketchikan,55.34,-131.65,39.2,100,90,13.87,US,1609565634
333,roma,43.21,-75.46,30.2,86,90,9.17,US,1609565386
334,parfenyevo,58.48,43.41,21.58,98,100,7.9,RU,1609565634
335,arraial do cabo,-22.97,-42.03,75.2,94,75,2.24,BR,1609565634
336,gangapur,26.48,76.72,64.44,47,83,11.03,IN,1609565634
337,vestmannaeyjar,63.44,-20.27,44.35,81,100,14.99,IS,1609565634
338,marsh harbour,26.54,-77.06,74.23,77,5,17.58,BS,1609565634
339,tuktoyaktuk,69.45,-133.04,-27.4,74,20,9.17,CA,1609565634
340,sao joao da barra,-21.64,-41.05,74.1,92,100,4.68,BR,1609565634
341,lithakia,37.72,20.83,39.2,93,20,9.19,GR,1609565495
342,piacabucu,-10.41,-36.43,76.03,83,6,8.19,BR,1609565634
343,tuatapere,-46.13,167.68,57.0,87,99,5.99,NZ,1609565635
344,smolyaninovo,43.3,132.47,5.0,29,0,13.42,RU,1609565635
345,chernyshevskiy,63.01,112.47,-23.19,86,91,7.31,RU,1609565635
346,abu zabad,12.35,29.25,66.72,24,58,12.71,SD,1609565635
347,christchurch,-43.53,172.63,64.0,93,100,9.17,NZ,1609565456
348,ancud,-41.87,-73.82,48.0,93,0,3.36,CL,1609565635
349,lavrentiya,65.58,-171.0,13.21,93,97,14.38,RU,1609565635
350,saint anthony,45.02,-93.22,17.6,92,1,2.51,US,1609565635
351,cidreira,-30.18,-50.21,66.58,62,13,9.53,BR,1609565635
352,sabang,5.89,95.32,81.01,81,61,19.24,ID,1609565635
353,guerrero negro,27.98,-114.06,55.06,50,0,5.1,MX,1609565635
354,uyuni,-20.46,-66.83,55.54,56,28,8.46,BO,1609565635
355,tamale,9.4,-0.84,74.26,23,4,2.86,GH,1609565636
